id,year,component,bug_class,affected_function,trigger,poc,fix_commit,fixed_in,alloc_arena,cheri_expectation,rationale,sqlite_assessment,verification,source,notes
fossil:325c222726f275f1,2026,zipfile extension,integer-overflow,,,,325c222726f275f1,,direct-malloc,CAUGHT-candidate,zipfile allocates via sqlite3_malloc,Fix integer overflow problems and error reporting memory leaks in the zipfile extension. Forum post 2026-01-13T00:09:06Z,arena-inferred-from-file,https://sqlite.org/src/info/325c222726f275f1,Check-in date 2026-01-13; branch/tags: branch-3.51.
fossil:c19d419e8cf94a26,2009,FTS3,use-after-free,,,,c19d419e8cf94a26,,direct-malloc,CAUGHT-candidate,fts3 allocates via sqlite3_malloc,Fix a double - free that can occur when using the fts3 legacy syntax '-' operator. Add tests for the same operator. Ticket #3960. (CVS 6874),arena-inferred-from-file,https://sqlite.org/src/info/c19d419e8cf94a26,Check-in date 2009-07-10; branch/tags: trunk.
fossil:ffd1e51490286abf,2012,core,uninitialized-read,,,,ffd1e51490286abf,,lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing",Fix an uninitialized variable detected by valgrind,arena-inferred-from-file,https://sqlite.org/src/info/ffd1e51490286abf,Check-in date 2012-12-04; branch/tags: trunk. Marked harmless/valgrind-level by the developers.
fossil:706c8da2f6d9299f,2020,core,use-after-free,,,,706c8da2f6d9299f,,lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing",Fix a double - free of the FROM clause of an UPDATE inside of triggers,arena-inferred-from-file,https://sqlite.org/src/info/706c8da2f6d9299f,Check-in date 2020-07-16; branch/tags: update-from.
fossil:931bccb0cc290b8b,2023,core,heap-oob-read,,,,931bccb0cc290b8b,,lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing","Do not read past the end of a text buffer looking for a zero terminator, as that space might not be initialized. If the buffer is owned, just set the null terminator. This is a",arena-inferred-from-file,https://sqlite.org/src/info/931bccb0cc290b8b,Check-in date 2023-07-22; branch/tags: trunk.
component-survey:geopoly,,geopoly,,,,,,,direct-malloc,CAUGHT-candidate,fts3 allocates via sqlite3_malloc,No geopoly CVE exists; geopoly is not mentioned anywhere on https://sqlite.org/cves.html.,arena-inferred-from-file,https://sqlite.org/geopoly.html,"NEGATIVE RESULT: no known public memory-safety bug in geopoly. WHERE I LOOKED: (1) a complete NVD dump of every CVE whose description mentions 'sqlite' -- 264 records, published range 2006-01 through 2026-08-31, regex-searched for 'geopoly': ZERO hits; (2) the NVD CPE-based set for cpe:sqlite:sqlite, 67 records, a strict subset of the above, also zero; (3) sqlite.org/cves.html (page last updated 2026-08-01), full text: no occurrence of 'geopoly'. POSITIVE CONTROL for this negative: the same corpus and the same regex method DID return bugs for rtree (CVE-2017-10989, CVE-2019-8457), fts3, fts5, json, window, select.c, session, zipfile, appendvfs and sqlar -- so the instrument fires. CAVEAT / UNRESOLVED: geopoly shares ext/rtree/ and its shadow tables with rtree, so rtree's corrupt-node bugs plausibly reach geopoly queries too; and I did not exhaustively read the SQLite forum or the oss-fuzz tracker, where an un-CVE'd geopoly crash could exist. The claim is 'no CVE and nothing on the vendor page', not 'no bug'. Geopoly (added 3.32.0, 2020) is also the youngest and least-deployed surface here, which is a likelier explanation than it being safer. rtree needs -DSQLITE_ENABLE_RTREE; geopoly needs -DSQLITE_ENABLE_GEOPOLY (which implies RTREE). Not in a default build and NOT in our Capstone build: capstone/benchmarks/sqlite/build-sqlite-capstone.sh passes no -DSQLITE_ENABLE_* for it. || RETRACTED AND REPLACED. This entry previously claimed geopoly had no known public memory-safety bug. That was WRONG. The CVE-scoped half survives -- geopoly has ZERO CVEs, and 'geopoly' appears nowhere in the 264-record NVD dump (2006-01 to 2026-08-31), nowhere in the CPE set, and nowhere on sqlite.org/cves.html -- but five genuine memory-safety defects exist and are recorded as sibling entries in this component. THREE REASONS THE FIRST PASS MISSED THEM, all worth carrying forward as method: (1) I searched sqlite.org/forum but there is a SECOND, separate public tracker at https://sqlite.org/bugs/ -- verified by me to exist and to be distinct from the forum -- which is where the recent systematic rtree/geopoly security reports live. It was not in my source list. (2) KEYWORD-SEARCHING CHECK-IN COMMENTS IS A BROKEN INSTRUMENT for this question: four of the five geopoly fixes have comments containing none of 'crash', 'segfault', 'overflow', 'out-of-bounds' or 'ASAN'. The most serious of them reads as cosmetic -- I fetched it myself and its entire message is 'Fix a problem with the geopoly_bbox() function.' Grepping comments yields a clean FALSE NEGATIVE; these were found by diffing revisions. (3) No oss-fuzz issue exists for either file: 'ossfuzz' matches 94 SQLite check-ins, 'ossfuzz rtree' and 'ossfuzz geopoly' each match 0. Two geopoly and three rtree fixes are credited to dbsqlfuzz, SQLite's IN-HOUSE fuzzer. REVISED HEADLINE: geopoly is not a clean component; it is an UNTRACKED one. Zero CVEs, zero oss-fuzz issues, no crash vocabulary in any commit message, and five real defects -- three reachable from plain SQL against an intact database. For a blind-spot study that is a better finding than the original negative was. geopoly needs -DSQLITE_ENABLE_GEOPOLY (which implies RTREE); rtree needs -DSQLITE_ENABLE_RTREE. Neither is in a default build, and our Capstone build passes no -DSQLITE_ENABLE_* at all, so this component is NOT reachable in our binary."
fossil:751fe4edb2d4602e,2020,core,use-after-free,,C-API-misuse,,751fe4edb2d4602e,,lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing",Prevent use - after - free of the u.vtab.idxStr string following an OOM while generating the OP_VFilter opcode,arena-inferred-from-file,https://sqlite.org/src/info/751fe4edb2d4602e,Check-in date 2020-09-17; branch/tags: trunk.
fossil:77a30f3f7a4094cf,2021,core,use-after-free,sqlite3ExprAnd(),,,77a30f3f7a4094cf,,lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing","This avoids a dangling pointer in AggInfo if sqlite3ExprAnd() is invoked by the push-down optimization. The dangling pointer appears to be harmless in release builds, only showing up in debug builds. Problem found by",arena-inferred-from-file,https://sqlite.org/src/info/77a30f3f7a4094cf,Check-in date 2021-03-31; branch/tags: trunk. Marked harmless/valgrind-level by the developers.
sqlite-checkin-1a6b3dd1c4,2023,core string handling (large string optimizations),uninitialized-read,,"fuzzer-input via OSS-Fuzz project sqlite3, fuzz target 'ossfuzz' (test/ossfuzz.c) unless stated otherwise","NO public downloadable testcase located. The OSS-Fuzz issue number is not cited in the check-in, and OSS-Fuzz issues are not enumerable anonymously (see notes on the C-ossfuzz summary). Where the check-in says 'Test case in TH3', the reproducer is in SQLite's proprietary TH3 suite and is NOT public; other historical fuzzer cases are bundled anonymously into test/fuzzdata*.db and replayed by fuzzcheck.",1a6b3dd1c4,,lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing","SQLite assessment: 'harmless'. Superseded 15 minutes later by 931bccb0cc, which describes the same defect as an actual read past the end of a text buffer - a useful example of an initial 'harmless' triage being revised.",arena-inferred-from-file,https://sqlite.org/src/timeline?s=ossfuzz&n=300&y=ci (fetched; the check-in comment is quoted verbatim in 'notes'). Per-commit page: https://sqlite.org/src/info/1a6b3dd1c4,"SQLite check-in comment, verbatim: ""Fix a harmless use-of-initialized-value warning from OSSFuzz that results from recent large string optmizations."""
fossil:108863ec7998e0a3,2024,FTS3,heap-overflow-write,,corrupt-db-file,,108863ec7998e0a3,,direct-malloc,CAUGHT-candidate,fts3 allocates via sqlite3_malloc,Fix an OOB write that could occur in fts3 when dealing with corrupt database records,arena-inferred-from-file,https://sqlite.org/src/info/108863ec7998e0a3,Check-in date 2024-11-07; branch/tags: trunk.
fossil:fcf3d0a3d5d3a711,2008,core,uninitialized-read,,,,fcf3d0a3d5d3a711,,lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing",Fix an uninitialized variable in the Prev and Next opcodes. (CVS 4873),arena-inferred-from-file,https://sqlite.org/src/info/fcf3d0a3d5d3a711,Check-in date 2008-03-17; branch/tags: trunk.
fossil:8ba5acabf9a0273f,2026,FTS5,heap-oob-read,,corrupt-db-file,,8ba5acabf9a0273f,,direct-malloc,CAUGHT-candidate,fts5 allocates via sqlite3_malloc,Fix another buffer overread in fts5 when processing corrupt records. Bug 2026-06-08T16:03:39Z,arena-inferred-from-file,https://sqlite.org/src/info/8ba5acabf9a0273f,Check-in date 2026-06-08; branch/tags: trunk.
fossil:3c3d076b42da36cd,2010,FTS3,uninitialized-read,,,,3c3d076b42da36cd,,direct-malloc,CAUGHT-candidate,fts3 allocates via sqlite3_malloc,Fix an uninitialized variable in fts3.c,arena-inferred-from-file,https://sqlite.org/src/info/3c3d076b42da36cd,Check-in date 2010-11-26; branch/tags: trunk.
fossil:6ede22e13f8e85c1,2026,spellfix extension,heap-oob-read,next_char(),,,6ede22e13f8e85c1,,UNKNOWN,UNKNOWN,,"Fix an OOB read in the next_char() function of the ""spellfix"" extension. The spellfix extension is not a deliverable. Bug 2026-06-23T05:41:00Z",unverified,https://sqlite.org/src/info/6ede22e13f8e85c1,Check-in date 2026-06-23; branch/tags: trunk.
fossil:38ef8ab9830e12ac,2021,core,use-after-free,sqlite3ParserAddCleanup(),C-API-misuse,,38ef8ab9830e12ac,,lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing",Fix a potential use - after - free following an OOM in sqlite3ParserAddCleanup() and add a mechanism to detect situations where this might occur in the future,arena-inferred-from-file,https://sqlite.org/src/info/38ef8ab9830e12ac,Check-in date 2021-01-12; branch/tags: parse-cleanup.
fossil:92893b7980cbb0c6,2019,window functions,use-after-free,,,,92893b7980cbb0c6,,lookaside,BLINDSPOT-candidate,window function is core parse/query machinery,Fix a double - free that could occur when a component of a compound SELECT with an ORDER BY clause uses named window definitions,arena-inferred-from-file,https://sqlite.org/src/info/92893b7980cbb0c6,Check-in date 2019-12-04; branch/tags: trunk.
sqlite-checkin-3f6730be4c,2018,Lemon parser template (parse.c action tables),heap-oob-read,yy_find_shift_action / Lemon parser template arrays,"fuzzer-input via OSS-Fuzz project sqlite3, fuzz target 'ossfuzz' (test/ossfuzz.c) unless stated otherwise","NO public downloadable testcase located. The OSS-Fuzz issue number is not cited in the check-in, and OSS-Fuzz issues are not enumerable anonymously (see notes on the C-ossfuzz summary). Where the check-in says 'Test case in TH3', the reproducer is in SQLite's proprietary TH3 suite and is NOT public; other historical fuzzer cases are bundled anonymously into test/fuzzdata*.db and replayed by fuzzcheck.",3f6730be4c,,UNKNOWN,UNKNOWN,,'array overread' - explicitly a STOP-GAP fix; SQLite states the proper fix (making the overread impossible in the table generator) was deferred.,unverified,https://sqlite.org/src/timeline?s=ossfuzz&n=300&y=ci (fetched; the check-in comment is quoted verbatim in 'notes'). Per-commit page: https://sqlite.org/src/info/3f6730be4c,"SQLite check-in comment, verbatim: ""Quick patch to the Lemon parser template to avoid an array overread reported by OSSFuzz. A proper fix involves enhancements to the table generators in Lemon to make the overread impossible. That fix will take longer to implement. The current check-in is a stop-gap."""
fossil:7e9e1b6123bc455d,2015,core,heap-oob-read,,corrupt-db-file,,7e9e1b6123bc455d,,lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing",avoid-buffer- overread ) A different approach to preventing buffer overreads when comparing a vector of values with a corrupt index record that spans at least one overflow page,arena-inferred-from-file,https://sqlite.org/src/info/7e9e1b6123bc455d,Check-in date 2015-05-27; branch/tags: avoid-buffer- overread.
fossil:c621fc668c6538f9,2019,window functions,stack-overflow,,,,c621fc668c6538f9,,lookaside,BLINDSPOT-candidate,window function is core parse/query machinery,Fix a stack overflow that could occur when renaming a table that has a trigger containing a window function invocation that itself contains a specific syntax error,arena-inferred-from-file,https://sqlite.org/src/info/c621fc668c6538f9,Check-in date 2019-04-29; branch/tags: trunk.
fossil:a3b02db74681a215,2018,core,uninitialized-read,,fuzzer-input,,a3b02db74681a215,,lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing",Fix an instance where an uninitialized VM register might be accessed. Fix for [093420fc0]. This problem was found by OSSFuzz,arena-inferred-from-file,https://sqlite.org/src/info/a3b02db74681a215,Check-in date 2018-04-05; branch/tags: trunk.
changes:3.23.0-schema,2018,core (schema parsing),null-deref,,corrupt-db-file,,d75e67654aa96,3.23.0 (2018-04-02),lookaside,BLINDSPOT-candidate,schema parsing is core parse/query machinery,Provide an appropriate error message when the sqlite_master table contains a CREATE TABLE AS statement. Formerly this caused either an assertion fault or null pointer dereference. Problem found by OSSFuzz on the GDAL project. Check-in d75e67654aa96.,arena-inferred-from-file,https://www.sqlite.org/changes.html,
fossil:a049fbbde5da2e43,2016,FTS5,heap-oob-read,,,,a049fbbde5da2e43,,direct-malloc,CAUGHT-candidate,fts5 allocates via sqlite3_malloc,Fix a potential buffer overread provoked by invalid utf-8 in fts5,arena-inferred-from-file,https://sqlite.org/src/info/a049fbbde5da2e43,Check-in date 2016-02-12; branch/tags: trunk.
changes:3.21.0-uaf,2017,core (schema reset),use-after-free,,plain-SQL,,,3.21.0 (2017-10-24),lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing",Avoid a possible use-after-free error by deferring schema resets until after the query planner has finished running. Ticket be436a7f4587ce5.,arena-inferred-from-file,https://www.sqlite.org/changes.html,
fossil:26f6d41f9d3ab656,2025,completion extension,heap-oob-read,,,,26f6d41f9d3ab656,,UNKNOWN,UNKNOWN,,Prevent embedded 0x00 characters in the output strings from confusing the completion extension and causing it to read past the end of an array. Forum post 88a08b3201,unverified,https://sqlite.org/src/info/26f6d41f9d3ab656,Check-in date 2025-10-01; branch/tags: trunk.
sqlite-checkin-0a2eb949f8,2019,core (code added by check-in 84e02d773d60cffe),use-after-free,,"fuzzer-input via OSS-Fuzz project sqlite3, fuzz target 'ossfuzz' (test/ossfuzz.c) unless stated otherwise","NO public downloadable testcase located. The OSS-Fuzz issue number is not cited in the check-in, and OSS-Fuzz issues are not enumerable anonymously (see notes on the C-ossfuzz summary). Where the check-in says 'Test case in TH3', the reproducer is in SQLite's proprietary TH3 suite and is NOT public; other historical fuzzer cases are bundled anonymously into test/fuzzdata*.db and replayed by fuzzcheck.",0a2eb949f8,,lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing","'potential use-after-free bug that follows an OOM error' - OOM-path UAF, trunk regression.",arena-inferred-from-file,https://sqlite.org/src/timeline?s=ossfuzz&n=300&y=ci (fetched; the check-in comment is quoted verbatim in 'notes'). Per-commit page: https://sqlite.org/src/info/0a2eb949f8,"SQLite check-in comment, verbatim: ""Fix a potential use-after-free bug that follows an OOM error in code added two days ago by check-in [84e02d773d60cffe]. Problem discovered by OSSFuzz."""
fossil:5cd728fb6b3a70f7,2019,sqlite_dbdata module,heap-oob-read,,,,5cd728fb6b3a70f7,,UNKNOWN,UNKNOWN,,Fix another corruption related buffer overread in the sqlite_dbdata module,unverified,https://sqlite.org/src/info/5cd728fb6b3a70f7,Check-in date 2019-05-09; branch/tags: trunk.
fossil:caa7da807d6578f7,2006,VDBE,stack-overflow,,,,caa7da807d6578f7,,UNKNOWN,UNKNOWN,,Fix a vdbe stack overflow problem that could occur with a correlated sub-query. (CVS 2938),unverified,https://sqlite.org/src/info/caa7da807d6578f7,Check-in date 2006-01-13; branch/tags: trunk.
fossil:1dfc95b8673b0e8c,2019,sqlite_dbdata module,heap-oob-read,,corrupt-db-file,,1dfc95b8673b0e8c,,UNKNOWN,UNKNOWN,,Fix another small buffer overread in sqlite_dbdata triggered by a corrupt database page,unverified,https://sqlite.org/src/info/1dfc95b8673b0e8c,Check-in date 2019-05-09; branch/tags: trunk.
fossil:9a4a40c45feb2bb8,2020,FTS3,heap-oob-read,,corrupt-db-file,,9a4a40c45feb2bb8,,direct-malloc,CAUGHT-candidate,fts3 allocates via sqlite3_malloc,Fix a buffer overread in fts3 that could occur when decoding a corrupted record,arena-inferred-from-file,https://sqlite.org/src/info/9a4a40c45feb2bb8,Check-in date 2020-06-12; branch/tags: trunk.
fossil:904be83d9f3dd4b2,2023,FTS5,use-after-free,,C-API-misuse,,904be83d9f3dd4b2,,direct-malloc,CAUGHT-candidate,fts5 allocates via sqlite3_malloc,Fix a use - after - free that could follow an OOM or IO error in fts5 when using 'secure-delete' mode,arena-inferred-from-file,https://sqlite.org/src/info/904be83d9f3dd4b2,Check-in date 2023-04-15; branch/tags: trunk.
sqlite-checkin-cc888878ea,2020,"core, OOM path",null-deref,,"corrupt-db-file + mutated SQL; dbsqlfuzz, SQLite's own libFuzzer-based structure-aware fuzzer that mutates the database file and the SQL text simultaneously","NO public download. dbsqlfuzz is PROPRIETARY and not distributed; its case ids are SHA-1-style hashes that only the SQLite developers can resolve to an input. Historical dbsqlfuzz cases are folded anonymously into test/fuzzdata*.db in the public SQLite tree and replayed by the 'fuzzcheck' utility on 'make test', but individual cases are not addressable by id.",cc888878ea,,lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing",,arena-inferred-from-file,https://sqlite.org/src/timeline?s=dbsqlfuzz&n=500&y=ci (fetched; check-in comment quoted verbatim in 'notes'). Per-commit page: https://sqlite.org/src/info/cc888878ea,"SQLite check-in comment, verbatim: ""Fix a possible null pointer deref following OOM. Discovered by dbsqlfuzz."" No dbsqlfuzz case id given in the comment."
fossil:fad98805b7d73abf,2026,FTS5,heap-oob-read,,corrupt-db-file,,fad98805b7d73abf,,direct-malloc,CAUGHT-candidate,fts5 allocates via sqlite3_malloc,Fix a potential buffer overread in fts5 that could occur when handling corrupt records. Improved detection of corrupt fts5 records,arena-inferred-from-file,https://sqlite.org/src/info/fad98805b7d73abf,Check-in date 2026-05-20; branch/tags: branch-3.53.
fossil:5a33e0b06f495628,2004,core,stack-overflow,,,,5a33e0b06f495628,,lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing",Fix a stack overflow problem with INSTEAD OF triggers. (CVS 1310),arena-inferred-from-file,https://sqlite.org/src/info/5a33e0b06f495628,Check-in date 2004-04-29; branch/tags: version_2.
fossil:e49682c5eac91958,2022,kv-vfs,uninitialized-read,,,,e49682c5eac91958,,UNKNOWN,UNKNOWN,,Fix uninitialized variable in rollback-journal processing in os_kv.c,unverified,https://sqlite.org/src/info/e49682c5eac91958,Check-in date 2022-09-12; branch/tags: kv-vfs.
fossil:b3fa58dd7403dbd4,2019,FTS5,heap-oob-read,,,,b3fa58dd7403dbd4,,direct-malloc,CAUGHT-candidate,fts5 allocates via sqlite3_malloc,Fix a buffer overread that could occur when running fts5 prefix queries inside a transaction,arena-inferred-from-file,https://sqlite.org/src/info/b3fa58dd7403dbd4,Check-in date 2019-03-18; branch/tags: trunk.
fossil:90f7318308ca8372,2025,memvfs extension,heap-oob-read,,,,90f7318308ca8372,,UNKNOWN,UNKNOWN,,Fix a buffer overread in demo code in ext/misc/memvfs.c,unverified,https://sqlite.org/src/info/90f7318308ca8372,Check-in date 2025-10-01; branch/tags: trunk.
fossil:47d0b1c4cfc3d2d8,2022,core,uninitialized-read,setResultStrOrError(),,,47d0b1c4cfc3d2d8,,lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing","In setResultStrOrError(), if the input string pointer is NULL and hence the value gets set to an SQL NULL, then the Mem.enc field is uninitialized . So do not read it. This is a harmless",arena-inferred-from-file,https://sqlite.org/src/info/47d0b1c4cfc3d2d8,Check-in date 2022-03-29; branch/tags: branch-3.38 ... Check-in. Marked harmless/valgrind-level by the developers.
fossil:c8ffae05e13033ec,2016,core,uninitialized-read,,,,c8ffae05e13033ec,,lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing",Fix an uninitialized variable in CASE expression code generation,arena-inferred-from-file,https://sqlite.org/src/info/c8ffae05e13033ec,Check-in date 2016-08-23; branch/tags: rowvalue.
fossil:0ccea80092f16e7f,2020,expert extension,heap-oob-read,,,,0ccea80092f16e7f,,direct-malloc,CAUGHT-candidate,expert allocates via sqlite3_malloc,Avoid another potential OOB read in sqlite3expert.c,arena-inferred-from-file,https://sqlite.org/src/info/0ccea80092f16e7f,Check-in date 2020-05-21; branch/tags: trunk.
fossil:4d0cfb1236884349,2020,FTS3,heap-oob-read,,corrupt-db-file,,4d0cfb1236884349,,direct-malloc,CAUGHT-candidate,fts3 allocates via sqlite3_malloc,Avoid a potential buffer overread in fts3 when processing corrupt records,arena-inferred-from-file,https://sqlite.org/src/info/4d0cfb1236884349,Check-in date 2020-06-30; branch/tags: trunk.
fossil:354726aa6c399053,2022,kv-vfs,uninitialized-read,,,,354726aa6c399053,,UNKNOWN,UNKNOWN,,Fix an uninitialized variable in the decoder kv-vfs,unverified,https://sqlite.org/src/info/354726aa6c399053,Check-in date 2022-09-17; branch/tags: kv-vfs.
fossil:2aa7a03b8632dbfd,2016,test code,uninitialized-read,,,,2aa7a03b8632dbfd,,UNKNOWN,UNKNOWN,,Fix harmless uninitialized variable warnings in speedtest1.c,unverified,https://sqlite.org/src/info/2aa7a03b8632dbfd,"Check-in date 2016-10-18; branch/tags: trunk. Marked harmless/valgrind-level by the developers. Affects test/tool code, not the library."
dbsqlfuzz-4c45cecc0b255aaf2ea85453ccd17e814fd0b6b2,2021,btree.c page defragmenter,uninitialized-read,defragmentPage,"corrupt-db-file + mutated SQL; dbsqlfuzz, SQLite's own libFuzzer-based structure-aware fuzzer that mutates the database file and the SQL text simultaneously","NO public download. dbsqlfuzz is PROPRIETARY and not distributed; its case ids are SHA-1-style hashes that only the SQLite developers can resolve to an input. Historical dbsqlfuzz cases are folded anonymously into test/fuzzdata*.db in the public SQLite tree and replayed by the 'fuzzcheck' utility on 'make test', but individual cases are not addressable by id.",35e40d7575,,btree-scratch,BLINDSPOT-spatial-only,balance_nonroot cuts three regions from one block,,arena-inferred-from-file,https://sqlite.org/src/timeline?s=dbsqlfuzz&n=500&y=ci (fetched; check-in comment quoted verbatim in 'notes'). Per-commit page: https://sqlite.org/src/info/35e40d7575,"SQLite check-in comment, verbatim: ""Avoid use of uninitialized memory while running defragmentPage() on a corrupt database file."" dbsqlfuzz case id: 4c45cecc0b255aaf2ea85453ccd17e814fd0b6b2."
sqlite-testing.html-4.1.2-ossfuzz,2016-2026,whole library via test/ossfuzz.c,,LLVMFuzzerTestOneInput (test/ossfuzz.c),fuzzer-input; OSS-Fuzz has continuously fuzzed the 'sqlite3' project since 2016 through test/ossfuzz.c,"Corpus-level only: 'Historical test cases from AFL, OSS Fuzz, and dbsqlfuzz are collected in a set of database files in the main SQLite source tree and then rerun by the fuzzcheck utility program whenever one runs make test.' (test/fuzzdata1.db ... fuzzdata8.db). Individual OSS-Fuzz testcases are NOT separately addressable there.",,,UNKNOWN,UNKNOWN,,"Verbatim: 'OSS Fuzz no longer finds historical bugs in SQLite. But it is still running and does occasionally find issues in new development check-ins.' SQLite links exactly three examples: check-ins c422afb507dc8757, 0a2eb949f8a759e5, 62f2235adf796c72 - all three are captured as individual entries in this file.",unverified,https://www.sqlite.org/testing.html,"AGGREGATE entry, not a single bug. Measured counts from SQLite's own Fossil timeline search (fetched https://sqlite.org/src/timeline?s=ossfuzz&n=300&y=ci and https://sqlite.org/src/timeline?s=dbsqlfuzz&n=500&y=ci): 91 SQLite check-ins mention 'ossfuzz'/'OSS-Fuzz'; 324 mention 'dbsqlfuzz'. Of the 91 OSS-Fuzz check-ins roughly 25 describe a memory-safety-class defect (UAF, overread, uninitialized read, null deref, shift UB, stack overflow); the remainder are assert()/ALWAYS()/NEVER() faults, timeouts, wrong-answer bugs, and harness changes. Of the 324 dbsqlfuzz check-ins, 54 match memory-safety keywords."
OSS-Fuzz-17299,2019,core / built-in SQL functions (func.c),heap-oob-read,instrFunc,"fuzzer-input; OSS-Fuzz project sqlite3, fuzz target 'ossfuzz' (test/ossfuzz.c), job libfuzzer_asan_sqlite3, libFuzzer+ASAN","YES - ClusterFuzz minimized testcase id 5761066553835520, downloadable at https://oss-fuzz.com/download?testcase_id=5761066553835520 (report page https://oss-fuzz.com/testcase?key=5761066553835520). Regression range 201909170155:201909180154.","d49047c1b5 (SQLite Fossil check-in, 2019-09-18)",,direct-malloc,CAUGHT-candidate,func allocates via sqlite3_malloc,"SQLite calls it 'an OOB read in the INSTR() function introduced yesterday by check-in [3fb40f518086c1e8]' - a short-lived trunk regression, never in a release.",arena-inferred-from-file,https://issues.oss-fuzz.com/issues/42478093 (new-tracker id; old monorail id 17299 redirects there via https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=17299) ; fix: https://sqlite.org/src/timeline?s=ossfuzz&n=300&y=ci,Verbatim ASAN report fields from the tracker: Crash Type 'Heap-buffer-overflow READ 1'; Crash Address 0x6020000007d8; Crash State 'instrFunc / sqlite3VdbeExec / sqlite3Step'; Sanitizer address (ASAN). Title: 'sqlite3:ossfuzz: Heap-buffer-overflow in instrFunc'. One-byte OOB read - exactly the sub-object/intra-allocation granularity a CHERI bounds check on a pointer to the string buffer would catch.
fossil:43321a5560319423,2009,core,heap-overflow-write,,corrupt-db-file,,43321a5560319423,,lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing",Fix a case where SQLite may write past the end of a buffer as a result of a corrupted database file,arena-inferred-from-file,https://sqlite.org/src/info/43321a5560319423,Check-in date 2009-08-14; branch/tags: trunk.
fossil:96d6eaf4d2be4531,2010,core,uninitialized-read,,,,96d6eaf4d2be4531,,lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing",Fix an uninitialized variable in OSX proxy locking,arena-inferred-from-file,https://sqlite.org/src/info/96d6eaf4d2be4531,Check-in date 2010-05-10; branch/tags: trunk.
fossil:19064d7cea838e1a,2009,UTF16 conversion,heap-oob-read,,,,19064d7cea838e1a,,UNKNOWN,UNKNOWN,,Make sure that UTF16 to UTF8 conversions to not read past the end of the UTF16 input buffer if the last two bytes of the UTF16 happen to be the first half of a surrogate,unverified,https://sqlite.org/src/info/19064d7cea838e1a,Check-in date 2009-10-23; branch/tags: trunk.
fossil:355afd77df21a226,2019,FTS5,heap-oob-read,,corrupt-db-file,,355afd77df21a226,,direct-malloc,CAUGHT-candidate,fts5 allocates via sqlite3_malloc,Avoid a buffer overread in fts5 that could occur when parsing corrupt configuration records,arena-inferred-from-file,https://sqlite.org/src/info/355afd77df21a226,Check-in date 2019-12-10; branch/tags: trunk.
fossil:45f459d2fa4be97d,2021,FTS3,heap-oob-read,,,,45f459d2fa4be97d,,direct-malloc,CAUGHT-candidate,fts3 allocates via sqlite3_malloc,Avoid a buffer overread in fts3 that could occur when handling corrupt data structures,arena-inferred-from-file,https://sqlite.org/src/info/45f459d2fa4be97d,Check-in date 2021-06-08; branch/tags: trunk.
fossil:9d3ef3bd2c628178,2013,core,uninitialized-read,,,,9d3ef3bd2c628178,,lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing",Fix a harmless uninitialized variable warning,arena-inferred-from-file,https://sqlite.org/src/info/9d3ef3bd2c628178,Check-in date 2013-06-19; branch/tags: nextgen-query-plan-exp. Marked harmless/valgrind-level by the developers.
fossil:0463576b5de0a1ee,2020,core,uninitialized-read,,,,0463576b5de0a1ee,,lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing",Fix a false-positive in the debugging logic that attempts to detect the use of uninitialized registers inside triggers. Ticket [c4c56482ced89d90],arena-inferred-from-file,https://sqlite.org/src/info/0463576b5de0a1ee,Check-in date 2020-03-03; branch/tags: trunk.
fossil:aeb85fdfca0a546c,2026,FTS5,heap-oob-read,xPhraseFirstColumn(),,,aeb85fdfca0a546c,,direct-malloc,CAUGHT-candidate,fts5 allocates via sqlite3_malloc,Fix an OOB read caused by passing an out-of-range phrase number to fts5 auxiliary API xPhraseFirstColumn() in detail=columns mode,arena-inferred-from-file,https://sqlite.org/src/info/aeb85fdfca0a546c,Check-in date 2026-07-06; branch/tags: trunk.
fossil:715cecb8c795a28f,2009,VDBE,stack-overflow,,,,715cecb8c795a28f,,UNKNOWN,UNKNOWN,,Fix a VDBE stack overflow issue with the UPDATE statement,unverified,https://sqlite.org/src/info/715cecb8c795a28f,Check-in date 2009-09-03; branch/tags: branch-3.3.6.
